printer_string,printer_shortname,notes,books_on_workbench,workbench_set,export_cdt,group_ID
"Ashburne, John",jashburne,,,y,https://printprobdb.psc.edu/api/character_groupings/e906d20e-93b6-466e-b57f-6a97137e6b41/download/,e906d20e-93b6-466e-b57f-6a97137e6b41
"Astwood, James",jamesastwood,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/703c6e63-3438-4654-8cc5-43d946e367b5/download/,703c6e63-3438-4654-8cc5-43d946e367b5
"Baldwin, Richard",rbaldwin,cni00039898,9.0,y,https://printprobdb.psc.edu/api/character_groupings/7ffacebb-01d5-46d3-9056-4c7f5468c1c1/download/,7ffacebb-01d5-46d3-9056-4c7f5468c1c1
"Battersby, Robert",rbatters,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/4750d29e-7a18-4983-9eaa-f6ce769d5f85/download/,4750d29e-7a18-4983-9eaa-f6ce769d5f85
"Bell, Jane",jbell,,5.0,y,https://printprobdb.psc.edu/api/character_groupings/9d59c7bd-55b8-4224-94f7-a349d7d79b15/download/,9d59c7bd-55b8-4224-94f7-a349d7d79b15
"Bennet, Joseph",jbennet,,,y,https://printprobdb.psc.edu/api/character_groupings/867a84a0-69f4-4537-9169-6c9736371eb5/download/,867a84a0-69f4-4537-9169-6c9736371eb5
"Bennet, Margaret",mbennet,,,y,https://printprobdb.psc.edu/api/character_groupings/64e1e72d-3325-47c5-b7e6-b2f09d83d4c9/download/,64e1e72d-3325-47c5-b7e6-b2f09d83d4c9
"Best, John",jbest,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/f2cc193e-da6f-4660-a248-f0bec35de601/download/,f2cc193e-da6f-4660-a248-f0bec35de601
"Bill, John",jbill,,1.0,y,https://printprobdb.psc.edu/api/character_groupings/3d1d79ba-3327-4917-b8e5-de7922569a2e/download/,3d1d79ba-3327-4917-b8e5-de7922569a2e
"Bonny, William",wbonny,,,y,https://printprobdb.psc.edu/api/character_groupings/276f726b-5f81-4a79-b5e1-e6073112896d/download/,276f726b-5f81-4a79-b5e1-e6073112896d
"Bowyer, William",wbowyer,,,y,https://printprobdb.psc.edu/api/character_groupings/826010bd-3031-4412-ad1e-cbb9ffadc57b/download/,826010bd-3031-4412-ad1e-cbb9ffadc57b
"Braddyll, Thomas",tbraddyll,,9.0,y,https://printprobdb.psc.edu/api/character_groupings/479974b9-c890-4b0c-93f1-67d19bf25c7b/download/,479974b9-c890-4b0c-93f1-67d19bf25c7b
"Bradford, John",jbradford,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/c36e3ea0-8c78-4f7b-9af1-265acafed052/download/,c36e3ea0-8c78-4f7b-9af1-265acafed052
"Bridge, Samuel",sbridge,,2.0,y,https://printprobdb.psc.edu/api/character_groupings/40bcdebb-e934-49a5-8a66-1ae77011c9ef/download/,40bcdebb-e934-49a5-8a66-1ae77011c9ef
"Bringhurst, John",jbringh,,5.0,y,https://printprobdb.psc.edu/api/character_groupings/ff212791-89e1-4254-9f0c-24ae8ef62df4/download/,ff212791-89e1-4254-9f0c-24ae8ef62df4
